Date,"Temperature High (C)","Temperature Low (C)","Temperature Average (C)","Sea Surface Temperature (C)","Sea Ice (WMO Code)","Pressure High (mbar)","Pressure Low (mbar)","Pressure Average (mbar)","Windspeed Peak","Windspeed 5-Sec Peak","Windspeed 2-Min Peak","Windspeed Average","Wind Peak Direction (True) (º)","Wind Peak Direction (º)","Wind 5-Sec Peak Direction  (º)","Wind 2-Min Peak Direction  (º)","Wind Direction Prevailing","Rainfall (mm)","Precipitation Snow (cm)","Depth at Snowstake (cm)","Cloud Cover","Data flag - Temperature Average","Data flag - Pressure Average"
1995-02-25,2.5,1.4,1.95,1,00890,972.2,963.2,967.7,25,,,14,,10,,,N,10.2,0,0,10,C,C
1995-02-26,2.5,-0.1,1.2,,00790,984.9,974,979.45,21,,,9,,240,,,W,6.9,2,0,10,C,C
1995-02-27,2.7,-0.5,1.1,,00790,997.5,987.2,992.35,28,,,13,,20,,,NW,0,0,0,10,C,C
1995-02-28,4,2.5,3.25,,00790,984.8,966.1,975.45,60,,,16,,40,,,N,7.4,-998,0,10,C,C
1995-03-01,3.5,2,2.4,,00790,986.8,976,981.4,29,,,15,,270,,,NW,5.5,0,0,10,,
1995-03-02,5,0,1.9,,00790,988.4,985,986.7,30,,,11,,360,,,NW,0.3,0,0,10,,
1995-03-03,3,-1.6,0,,00790,998.5,988.5,993.5,,,,5,,,,,,0,0,,8,,
1995-03-04,5.5,-1,3,,00790,997.5,980.2,989.2,60,,,29,,50,,,,9,,,10,,
1995-03-05,5,-0.1,2.4,,00790,979.3,975.5,976.4,42,,,19,,300,,,,22,3,4,10,,
1995-03-06,3.1,-0.1,0.8,,00390,982.1,978.1,980.4,,,,19,,,,,,2.6,,,9,,
1995-03-07,3.5,-0.8,0.4,,00790,981.2,980,980.6,,,,5,,,,,,0,0,,6,,
1995-03-08,1.5,-3,-0.3,,00790,980.1,979.2,979.8,,,,8,,,,,,0.2,,,10,,
1995-03-09,1.5,-0.5,-0.1,,00790,980,973.5,976.4,,,,6,,,,,,0.4,,,10,,
1995-03-10,2,-2,-0.4,,00790,984,975.8,980.9,,,,8,,,,,,0,0,,9,,
1995-03-11,2,-1,0,,00790,999.8,983.1,990.7,,,,3,,,,,,0,0,,8,,
1995-03-12,4.5,0,1.7,,00790,1000.1,989.6,994.8,,,,10,,,,,,4.5,,,10,,
1995-03-13,6.5,0.5,2.5,,00790,989.2,972,979.4,54,,,29,,20,,,,0.4,,,10,,
1995-03-14,3.5,1,1.9,,00790,979.5,978.8,979.1,,,,14,,,,,,1.4,,,9,,
1995-03-15,1,-0.7,0.1,,00790,979.9,977.2,978.5,,,,7,,,,,,0.8,,,10,,
1995-03-16,1.5,-2,-0.5,,/////,978.1,964.2,970.1,,,,10,,,,,,2.2,3,2,10,,
1995-03-17,2.7,-2.5,-0.3,,00790,968.2,963.8,965.8,,,,5,,,,,,0.3,,,5,,
1995-03-18,2.5,-2.5,-0.6,,00790,972,964.2,969.4,,,,11,,,,,,-998,,,5,,
1995-03-19,4.5,-1.5,-0.4,,00790,955.6,951.3,954.2,,,,8,,,,,,0.4,,,5,,
1995-03-20,1,-3.5,-1.7,,00790,962.5,959.2,961.5,,,,7,,,,,,0,0,,7,,
1995-03-21,2.5,-4,-2.6,,00790,975.5,965,970.1,,,,4,,,,,,0,0,,5,,
1995-03-22,1,-3,-1.4,,00790,985,979.5,982.2,,,,6,,,,,,0,0,,8,,
1995-03-23,1,-2.3,-1.4,,/////,986,984.9,985.7,,,,13,,,,,,1,,,10,,
1995-03-24,3.5,-2.5,1,,00790,981.4,977.8,979.6,,,,7,,,,,,0,0,,10,,
1995-03-25,3,0.4,0.7,,00790,990.3,981,984.3,,,,11,,,,,,0,0,,10,,
1995-03-26,1,-1,-0.3,,00790,995.1,993.1,994.2,62,,,27,,110,,,,0,0,,9,,
1995-03-27,3.5,-1,1,,00790,998.1,993.5,995.2,,,,18,,,,,,0,0,,10,,
1995-03-28,0.5,-1,-0.7,,00790,999.3,998,998.9,,,,9,,,,,,0,0,,10,,
1995-03-29,1,-1.5,-0.8,,00790,1001,998,999.8,,,,6,,,,,,-998,,,8,,
1995-03-30,0.5,-4.3,-2.6,,00790,999.5,997.5,998.3,,,,11,,,,,,-998,,,10,,
1995-03-31,-0.5,-4.8,-3.8,,00790,999,992.7,996.1,,,,6,,,,,,0,0,,4,,
1995-04-01,0,-6.5,-3.25,-0.5,00790,999.5,991.5,995.5,17,,,10,,50,,,NE,0,0,0,6,C,C
1995-04-02,0.5,-2,-0.75,0,00790,1001.8,998.8,1000.3,23,,,6,,50,,,E,0,-998,0,10,C,C
1995-04-03,4.5,-1,1.75,,00790,993.5,990.8,992.15,37,,,3,,140,,,NE,-998,2,0,8,C,C
1995-04-04,5,-0.5,2.25,0.5,00790,988,985,986.5,48,,,22,,30,,,N,0.9,0,0,10,C,C
1995-04-05,4,-1,1.5,,00790,987.9,984.8,986.35,41,,,10,,70,,,NE,0,-998,0,10,C,C
1995-04-06,1,-1.5,-0.25,0,00790,991.5,990,990.75,14,,,7,,360,,,N,0.7,-998,0,10,C,C
1995-04-07,3,-1,1,0,00790,990.5,984,987.25,36,,,2,,100,,,N,0.8,1,0,10,C,C
1995-04-08,2,-1,0.5,0,00790,992,989.8,990.9,28,,,5,,40,,,N,2.8,2,2,10,C,C
1995-04-09,1.5,0.5,1,0,00790,990,986.5,988.25,28,,,3,,20,,,N,3.4,4,2,10,C,C
1995-04-10,1,-1.5,-0.25,0,00790,998,994.2,996.1,23,,,6,,100,,,SE,0.4,-998,2,10,C,C
1995-04-11,2,-1.5,0.25,0,00790,990.8,985,987.9,43,,,10,,20,,,E,18.2,12,17,10,C,C
1995-04-12,3,-1,1,-0.5,00790,993.5,985.8,989.65,18,,,4,,90,,,E,0,0,15,10,C,C
1995-04-13,2,-1.5,0.25,0.5,00790,976.2,973.5,974.85,36,,,12,,110,,,E,0,0,17,9,C,C
1995-04-14,1.5,-1.5,0,0,00790,985.6,981,983.3,38,,,15,,30,,,N,1,-998,15,10,C,C
1995-04-15,4.5,-5,-0.25,0,00790,977.5,965,971.25,52,,,25,,20,,,N,3.9,12,10,10,C,C
1995-04-16,3.5,-3,0.25,0,00790,958,943.5,950.75,48,,,18,,30,,,N,10.4,1,10,9,C,C
1995-04-17,1.5,-1,0.25,-0.5,00790,961.2,957.5,959.35,38,,,12,,20,,,NE,1.8,3,12,9,C,C
1995-04-18,-3,-4,-3.5,-1,00790,986.8,964,975.4,40,,,12,,20,,,N,3.9,8,16,10,C,C
1995-04-19,2,-1.5,0.25,0,00790,989.3,971.7,980.5,83,,,21,,20,,,N,8.9,2,16,10,C,C
1995-04-20,2,-1.5,0.25,0,00790,978.9,976.1,977.5,75,,,14,,30,,,NW,0.7,0,16,10,C,C
1995-04-21,2,-0.5,0.75,0,00790,996.9,985.1,991,33,,,14,,310,,,N,0.6,0,16,10,C,C
1995-04-22,3,-1.5,0.75,0,00790,987.1,981.5,984.3,59,,,35,,20,,,N,12.3,-998,5,10,C,C
1995-04-23,3,2,2.5,0,00790,988.2,985.2,986.7,44,,,28,,20,,,N,3,0,3,8,C,C
1995-04-24,2.5,0.5,1.5,0,00790,989,977.2,983.1,70,,,34,,20,,,N,10.7,0,0,10,C,C
1995-04-25,0.5,-1.5,-0.5,0,00790,991.2,985.2,988.2,36,,,10,,320,,,SW,2.9,3,1,10,C,C
1995-04-26,-1.5,-2,-1.75,0,00790,1005,997.4,1001.2,26,,,13,,220,,,SW,0,0,6,10,C,C
1995-04-27,-1,-4,-2.5,0,00790,1010.9,1006.1,1008.5,14,,,7,,50,,,S,0,0,5,8,C,C
1995-04-28,-1.5,-6,-3.75,-0.5,00790,1013.5,1012.1,1012.8,22,,,5,,70,,,NE,0,0,5,5,C,C
1995-04-29,0,-5.5,-2.75,0.5,00790,1011.5,1008.9,1010.2,29,,,5,,80,,,NE,0,0,2,5,C,C
1995-04-30,2.5,-4,-0.75,0,00790,1008.8,1008.1,1008.45,17,,,6,,80,,,E,0,0,0,6,C,C
1995-05-01,2,-2.5,-0.25,,00790,1012,1003.2,1007.6,18,,,6,,20,,,W,0,0,3,8,C,C
1995-05-02,3,-1.5,0.75,,00790,1000,990.8,995.4,27,,,6,,110,,,E,1.6,1,6,8,C,C
1995-05-03,4.5,0,2.25,,00790,986.5,981.5,984,48,,,23,,50,,,N,0.3,0,2,10,C,C
1995-05-04,4.5,3,3.75,,00790,988.5,987.2,987.85,45,,,22,,60,,,NE,2.7,0,3,9,C,C
1995-05-05,4,0,2,,00790,993.1,990,991.55,34,,,7,,100,,,E,0,0,0,8,C,C
1995-05-06,0,-1.5,-0.75,,00790,994.1,992.3,993.2,18,,,8,,50,,,N,0,0,0,8,C,C
1995-05-07,-2,-4.5,-3.25,,00790,993.1,991.2,992.15,8,,,4,,20,,,N,6.9,5,3,9,C,C
1995-05-08,-4,-6,-5,,00790,994.1,993.6,993.85,17,,,4,,30,,,N,0.2,0,4,8,C,C
1995-05-09,-3,-6,-4.5,,00790,999.5,997.7,998.6,5,,,3,,10,,,E,0.1,0,4,10,C,C
1995-05-10,-3,-6.1,-4.55,,00790,1001.9,1000,1000.95,22,,,4,,80,,,E,0,0,3,6,C,C
1995-05-11,-1.5,-2.5,-2,,00790,1003.1,1002.3,1002.7,13,,,4,,90,,,E,0.5,0,3,10,C,C
1995-05-12,0.5,-4,-1.75,,00790,1003.3,998.1,1000.7,27,,,4,,50,,,NE,0,0,3,6,C,C
1995-05-13,-1.8,-5,-3.4,,00790,998.9,995.9,997.4,22,,,5,,50,,,NE,0,0,3,6,C,C
1995-05-14,-2,-5,-3.5,,00790,1005.4,1002,1003.7,15,,,4,,70,,,NE,0,0,3,10,C,C
1995-05-15,-2,-5.5,-3.75,,00790,1000,987.7,993.85,19,,,4,,110,,,SE,2,3,3,10,C,C
1995-05-16,-2,-4.5,-3.25,,00790,989.5,987.2,988.35,9,,,4,,70,,,NE,0,0,6,2,C,C
1995-05-17,1,-5,-2,,00790,995.6,984.3,989.95,56,,,24,,20,,,N,0.7,0,3,10,C,C
1995-05-18,3,1,2,,00790,984.9,970.6,977.75,71,,,37,,20,,,N,3.1,0,0,10,C,C
1995-05-19,2,-2,0,,00790,974.2,971.2,972.7,59,,,18,,20,,,NW,5,4,1,10,C,C
1995-05-20,-1.9,-4,-2.95,,00790,977.2,975.1,976.15,40,,,19,,300,,,NW,0.8,4,17,10,C,C
1995-05-21,-1.8,-4,-2.9,,00790,974.3,972.1,973.2,32,,,11,,290,,,S,0.1,1,16,10,C,C
1995-05-22,-9,-10.5,-9.75,,00790,975.2,972.1,973.65,43,,,16,,220,,,S,0.7,1,18,10,C,C
1995-05-23,6.5,-9,-1.25,,00790,989.1,971.5,980.3,37,,,19,,200,,,S,2.1,3,23,9,C,C
1995-05-24,0,-7.5,-3.75,,00790,993.7,979.1,986.4,23,,,19,,90,,,SE,7.9,7,23,10,C,C
1995-05-25,-4,-8,-6,,00790,985.9,973.9,979.9,44,,,18,,230,,,SW,6,5,33,10,C,C
1995-05-26,-4.6,-6,-5.3,,00790,986.2,977.3,981.75,23,,,5,,20,,,NE,1,1,32,10,C,C
1995-05-27,-2.6,-5.5,-4.05,,00790,979.9,971,975.45,25,,,11,,230,,,NW,3.6,4,31,10,C,C
1995-05-28,-1,-7,-4,,22691,1003.1,1000.5,1001.8,38,,,11,,230,,,W,4.8,6,27,10,C,C
1995-05-29,-1.9,-3,-2.45,,22691,1001,998.8,999.9,25,,,15,,290,,,SW,3.3,4,41,9,C,C
1995-05-30,-1,-4,-2.5,,33652,999.5,998.2,998.85,16,,,5,,290,,,W,1.7,1,40,10,C,C
1995-05-31,-3,-6,-4.5,,33652,997.8,997,997.4,11,,,2,,90,,,NE,0.6,0,41,10,C,C
1995-06-01,3,1,2,,00790,995.3,992,993.65,39,,,15,,20,,,N,0.7,0,36,10,C,C
1995-06-02,2,-2,0,,00790,994.8,992,993.4,29,,,7,,20,,,W,0.1,0,23,10,C,C
1995-06-03,0,-2,-1,,00790,990.2,988.5,989.35,21,,,2,,210,,,W,0.3,0,23,10,C,C
1995-06-04,4,-2,1,,00790,980.2,979.2,979.7,46,,,21,,20,,,N,0,0,25,5,C,C
1995-06-05,1,0,0.5,,00790,987.1,982,984.55,15,,,8,,20,,,E,1,0,21,5,C,C
1995-06-06,0,-4,-2,,00790,991,988.6,989.8,31,,,4,,70,,,E,0.1,0,21,5,C,C
1995-06-07,-2,-3.5,-2.75,,00790,991.5,986.5,989,6,,,2,,180,,,SW,0.3,0,21,5,C,C
1995-06-08,-4,-7.2,-5.6,,00790,979.2,970.6,974.9,15,,,6,,260,,,S,3.8,7,23,6,C,C
1995-06-09,-5.9,-9,-7.45,,00790,984,971.9,977.95,19,,,8,,20,,,NE,0.1,2,28,10,C,C
1995-06-10,-7.6,-10.5,-9.05,,00790,991.7,981,986.35,14,,,6,,180,,,E,0,0,27,5,C,C
1995-06-11,-4.5,-10,-7.25,,00790,989.5,982,985.75,12,,,4,,200,,,S,0,0,26,10,C,C
1995-06-12,-7,-9.5,-8.25,,00790,983.9,979.2,981.55,29,,,8,,90,,,S,0.4,1,29,10,C,C
1995-06-13,-4.3,-13.5,-8.9,,00790,995.8,992.5,994.15,38,,,16,,110,,,SE,0.4,1,30,6,C,C
1995-06-14,-5,-9,-7,,00790,999.1,997.8,998.45,37,,,12,,90,,,E,0,0,28,5,C,C
1995-06-15,-6.1,-8,-7.05,,00790,999.1,995,997.05,10,,,4,,20,,,NE,0,0,27,4,C,C
1995-06-16,-3.4,-8,-5.7,,00790,1003.1,1001.1,1002.1,17,,,6,,200,,,SW,0,0,30,9,C,C
1995-06-17,-1.9,-4.5,-3.2,,00790,1004.5,1003.3,1003.9,27,,,7,,200,,,SW,1.6,1,30,10,C,C
1995-06-18,-1.9,-4,-2.95,,29763,1003.2,995,999.1,16,,,6,,270,,,NW,3.4,6,31,10,C,C
1995-06-19,1,-4,-1.5,,00790,989.9,982.3,986.1,21,,,5,,270,,,S,9.1,4,37,10,C,C
1995-06-20,0.5,-2,-0.75,,29790,973.1,970.1,971.6,16,,,9,,90,,,N,11.9,17,40,10,C,C
1995-06-21,-1.5,-9,-5.25,,39862,976.1,972.1,974.1,24,,,10,,20,,,SW,4.9,6,62,10,C,C
1995-06-22,-7.1,-9.5,-8.3,,39761,982.2,977.1,979.65,33,,,10,,20,,,W,0.8,1,58,10,C,C
1995-06-23,-8.5,-10,-9.25,,29891,981.5,980.1,980.8,50,,,11,,20,,,N,0,0,39,10,C,C
1995-06-24,-9.5,-11.5,-10.5,,00790,986,979.9,982.95,24,,,7,,100,,,E,0.5,2,39,10,C,C
1995-06-25,-10.6,-14,-12.3,,00790,990.7,986.2,988.45,18,,,5,,90,,,E,1,1,39,9,C,C
1995-06-26,-10,-14,-12,,32863,991.5,989.8,990.65,18,,,9,,200,,,S,0,0,39,9,C,C
1995-06-27,-10,-13,-11.5,,32762,998.3,988.5,993.4,12,,,5,,140,,,SW,0,0,39,8,C,C
1995-06-28,-12,-14.8,-13.4,,32762,1003.1,1000,1001.55,45,,,21,,110,,,SE,0.8,1,39,9,C,C
1995-06-29,-8.5,-13,-10.75,,00790,1001,995.5,998.25,55,,,11,,90,,,S,0,0,39,0,C,C
1995-06-30,-7,-11.5,-9.25,,00790,997.3,993.1,995.2,14,,,6,,200,,,N,0,0,38,0,C,C
1995-07-01,-10,-11.4,-10.7,-1.6,00790,999.8,998,998.9,12,,,6,,20,,,NE,-998,-998,39,9,C,C
1995-07-02,-10.5,-13,-11.75,-1.6,80790,1001.8,999,1000.4,17,,,7,,200,,,N,0,0,39,4,C,C
1995-07-03,-7.6,-11.5,-9.55,-1,80790,1002.8,994.9,998.85,27,,,14,,90,,,E,0,0,38,8,C,C
1995-07-04,-2,-4,-3,-1.7,80790,991.2,986.8,989,53,,,11,,40,,,E,4.4,7,38,10,C,C
1995-07-05,-1.5,-4,-2.75,-1,80790,995.2,990,992.6,45,,,16,,20,,,N,0.2,0,38,6,C,C
1995-07-06,-4,-6,-5,-1.6,80790,993.4,984.1,988.75,23,,,7,,180,,,S,0,0,38,8,C,C
1995-07-07,-5.5,-8,-6.75,-1.6,80790,981.7,981,981.35,18,,,6,,20,,,N,0,0,38,9,C,C
1995-07-08,-7,-10,-8.5,-1.8,80790,985.8,981,983.4,13,,,6,,30,,,N,0,0,38,8,C,C
1995-07-09,-7.5,-9.5,-8.5,-1.8,80790,989,986.7,987.85,16,,,5,,180,,,S,0,0,38,9,C,C
1995-07-10,-8.5,-10,-9.25,-1.1,80790,996.5,990.2,993.35,11,,,4,,80,,,NE,0,0,38,10,C,C
1995-07-11,-6.5,-10.5,-8.5,-1.8,80790,1007.2,1001.5,1004.35,15,,,8,,20,,,N,0,0,38,8,C,C
1995-07-12,-9,-11.4,-10.2,-1.8,80790,1005.5,1004.5,1005,12,,,5,,360,,,SW,0.1,1,38,10,C,C
1995-07-13,-8.5,-14,-11.25,-1.8,80790,1004.1,991.2,997.65,12,,,6,,180,,,N,0.5,1,39,10,C,C
1995-07-14,-2.8,-6,-4.4,-1.8,80790,983.1,977.2,980.15,39,,,10,,90,,,NE,1.6,3,36,10,C,C
1995-07-15,-6,-11,-8.5,-1.9,80790,982.9,978.9,980.9,16,,,4,,300,,,NW,7.2,12,46,10,C,C
1995-07-16,-10.6,-14,-12.3,-1.8,80790,981.4,965,973.2,44,,,7,,90,,,E,2.8,5,38,10,C,C
1995-07-17,-16,-19,-17.5,-1.9,80790,977.2,970.5,973.85,35,,,15,,90,,,E,1.4,-998,38,10,C,C
1995-07-18,-11,-16.1,-13.55,-2,80790,973.8,962.1,967.95,44,,,13,,90,,,E,-998,-998,37,9,C,C
1995-07-19,-8,-11.5,-9.75,-2,80790,973.6,964.2,968.9,45,,,18,,100,,,E,2.7,1,37,10,C,C
1995-07-20,-5,-7,-6,-2,80790,989.1,981.1,985.1,48,,,11,,20,,,NE,0,0,37,8,C,C
1995-07-21,-7,-9,-8,-1.9,80790,991.2,990.6,990.9,29,,,7,,20,,,NE,0,0,36,2,C,C
1995-07-22,-5.5,-8,-6.75,-1.9,80790,988.9,978.9,983.9,41,,,17,,90,,,E,-998,-998,36,10,C,C
1995-07-23,-7,-9.5,-8.25,-2,80790,981.8,976.9,979.35,43,,,9,,20,,,NE,0,0,36,9,C,C
1995-07-24,-5,-6.5,-5.75,-2,80790,981,975.5,978.25,55,,,24,,80,,,E,4.7,4,39,10,C,C
1995-07-25,-5,-6,-5.5,-2,80790,988.5,982,985.25,27,,,8,,90,,,W,6.4,19,60,10,C,C
1995-07-26,-4,-8,-6,-2,80790,1003.3,991,997.15,27,,,11,,90,,,E,0,0,53,8,C,C
1995-07-27,-6,-8.4,-7.2,-1.8,80790,1010.1,1006.3,1008.2,31,,,14,,20,,,N,0,0,56,10,C,C
1995-07-28,-9,-10.7,-9.85,-1.8,80790,1009.6,1003.9,1006.75,21,,,11,,200,,,SW,1.6,1,51,10,C,C
1995-07-29,-9.4,-11,-10.2,-2,80790,1001.7,994.8,998.25,13,,,4,,200,,,S,0.7,1,51,10,C,C
1995-07-30,-1.4,-10.5,-5.95,-2,80790,987.2,972,979.6,19,,,6,,360,,,SE,6.8,8,53,10,C,C
1995-07-31,-10.2,-13,-11.6,-2,80790,974,973.1,973.55,27,,,7,,10,,,W,0.6,1,60,10,C,C
1995-08-01,-12,-15,-13.5,-1.9,80790,972.1,968.7,970.4,39,,,11,,90,,,E,0.4,-998,60,10,C,C
1995-08-02,-11,-16,-13.5,-1.9,42693,980.1,975.8,977.95,29,,,13,,210,,,S,0,0,59,6,C,C
1995-08-03,-9.5,-16,-12.75,-1.7,49059,992.9,986.1,989.5,16,,,3,,180,,,NE,0,0,58,7,C,C
1995-08-04,-11,-14,-12.5,-1.9,42662,999,991,995,9,,,4,,270,,,NE,0,0,57,2,C,C
1995-08-05,-10.2,-14,-12.1,-1.9,42662,1003.1,1001,1002.05,5,,,1,,100,,,NE,0,0,57,2,C,C
1995-08-06,-7.4,-12,-9.7,-2,42662,1004.5,1003.6,1004.05,5,,,1,,50,,,NE,0.4,2,56,10,C,C
1995-08-07,-9.5,-13,-11.25,-2,42662,1005.2,1004.2,1004.7,10,,,2,,180,,,S,0.1,0,58,10,C,C
1995-08-08,-13,-16,-14.5,-2,42662,1007.5,1006.7,1007.1,7,,,2,,60,,,E,0.4,-998,58,10,C,C
1995-08-09,-12.5,-21,-16.75,-2,92792,1016.6,1007.8,1012.2,15,,,2,,90,,,E,0.7,-998,57,0,C,C
1995-08-10,-17,-23,-20,-2,92792,1018.5,1016,1017.25,6,,,2,,50,,,W,0,0,57,0,C,C
1995-08-11,-19,-24.2,-21.6,-2,92792,1014.5,1011.9,1013.2,5,,,1,,200,,,NW,0,0,57,8,C,C
1995-08-12,-14,-24.5,-19.25,-2,92792,1012.9,1009.2,1011.05,10,,,3,,180,,,NW,0,0,57,2,C,C
1995-08-13,-8,-21.5,-14.75,-2,92792,1016.1,1013,1014.55,11,,,4,,300,,,N,0,0,57,10,C,C
1995-08-14,-3.5,-8,-5.75,-2,92792,1017.2,1014,1015.6,14,,,7,,340,,,NW,3.8,1,57,10,C,C
1995-08-15,-1,-5.5,-3.25,-2,92792,1009,991.9,1000.45,47,,,22,,360,,,N,1.3,2,58,10,C,C
1995-08-16,-0.6,-12,-6.3,-2,92792,1007.2,994.2,1000.7,61,,,19,,360,,,N,5.4,7,57,10,C,C
1995-08-17,-1.3,-4.5,-2.9,-2,92792,1002,999.1,1000.55,34,,,20,,20,,,NW,1.2,4,57,10,C,C
1995-08-18,0,-2.3,-1.15,-1.9,92792,994.3,978.2,986.25,36,,,23,,360,,,N,2.9,5,57,10,C,C
1995-08-19,-3,-14,-8.5,-2,92792,984,966,975,55,,,10,,360,,,N,0,0,60,10,C,C
1995-08-20,-2.1,-23,-12.55,-2,92792,980.2,957.2,968.7,50,,,16,,20,,,NW,1.7,1,56,5,C,C
1995-08-21,-20.5,-22,-21.25,-2,92792,986,981.9,983.95,14,,,6,,250,,,SW,-998,0,56,10,C,C
1995-08-22,-18.1,-25,-21.55,-2,92793,996.2,989.8,993,7,,,3,,250,,,N,0,0,56,5,C,C
1995-08-23,-19.9,-25,-22.45,-2,92793,996.1,995.7,995.9,8,,,4,,270,,,NW,0,0,56,2,C,C
1995-08-24,-19.5,-26,-22.75,-2,92793,999,995,997,11,,,5,,290,,,NW,-998,-998,56,10,C,C
1995-08-25,-15,-25,-20,-2,92793,994.2,988.2,991.2,14,,,4,,360,,,N,0.5,1,56,9,C,C
1995-08-26,-11.5,-23.5,-17.5,-2,92793,990.8,982.1,986.45,21,,,10,,200,,,SW,0.5,1,56,9,C,C
1995-08-27,-2.2,-20,-11.1,-2,92793,985.5,983.8,984.65,24,,,11,,270,,,W,6.8,7,64,10,C,C
1995-08-28,-0.8,-5,-2.9,-2,92793,980.2,971.1,975.65,38,,,21,,290,,,NW,3.9,3,84,10,C,C
1995-08-29,-1.2,-8.5,-4.85,-2,92793,977.8,968,972.9,61,,,17,,10,,,N,2.6,2,64,10,C,C
1995-08-30,-2,-10,-6,-2,92793,974.9,963,968.95,44,,,24,,20,,,N,4.8,4,65,10,C,C
1995-08-31,0.2,-5,-2.4,-2,92793,965.4,962.9,964.15,59,,,29,,10,,,N,11,7,97,10,C,C
1995-09-01,-3,-9,-6,-2,92793,976.2,967.2,971.7,74,,,35,,20,,,N,2.7,2,97,6,C,C
1995-09-02,-8.3,-16,-12.15,-2,92793,986.5,971.9,979.2,69,,,18,,20,,,NW,0.7,1,98,10,C,C
1995-09-03,-9,-18,-13.5,-2,92793,973.9,958.1,966,64,,,21,,20,,,N,1.2,1,98,10,C,C
1995-09-04,-2.7,-9.8,-6.25,-2,92793,961.7,947.1,954.4,55,,,26,,110,,,E,5.1,3,98,10,C,C
1995-09-05,-13.2,-19,-16.1,-1.9,92792,984.8,964.3,974.55,44,,,14,,90,,,NW,1.3,1,98,10,C,C
1995-09-06,-18,-22,-20,-1.9,82792,991.8,988.9,990.35,13,,,5,,360,,,NW,0,0,98,5,C,C
1995-09-07,-10.5,-18,-14.25,-1.9,82792,983.6,979.2,981.4,5,,,2,,50,,,NW,0,0,97,3,C,C
1995-09-08,-10,-18,-14,-1.9,82792,981,979.1,980.05,16,,,5,,80,,,E,0.6,-998,98,9,C,C
1995-09-09,-11.8,-21,-16.4,-1.9,82792,978,973.5,975.75,9,,,4,,10,,,NE,0,0,98,5,C,C
1995-09-10,-7.5,-13.5,-10.5,-1.9,82792,998,977.9,987.95,22,,,8,,20,,,N,0,0,98,3,C,C
1995-09-11,-13,-15.9,-14.45,-1.9,82792,1003.2,1000.1,1001.65,14,,,6,,110,,,NE,-998,-998,98,10,C,C
1995-09-12,-3.5,-4.7,-4.1,-1.9,82792,980.2,977.2,978.7,44,,,16,,90,,,E,10.8,12,101,10,C,C
1995-09-13,-6,-8.3,-7.15,-1.9,82792,982.6,980.1,981.35,21,,,11,,20,,,SE,14.4,34,124,10,C,C
1995-09-14,-7.1,-10.8,-8.95,-1.9,82792,993.8,985.4,989.6,14,,,2,,180,,,S,0.8,19,135,6,C,C
1995-09-15,-7,-14,-10.5,-1.9,82792,997.6,992,994.8,15,,,4,,360,,,NE,0,0,135,10,C,C
1995-09-16,-3.2,-13,-8.1,-1.9,82792,982.2,979.9,981.05,40,,,2,,80,,,NW,1.9,6,135,10,C,C
1995-09-17,-1,-8,-4.5,-1.9,82792,985.5,981,983.25,12,,,3,,200,,,SW,1,1,133,10,C,C
1995-09-18,-8.5,-15,-11.75,-1.9,82792,998.1,987.2,992.65,11,,,5,,290,,,NW,0,0,113,10,C,C
1995-09-19,-2,-16,-9,-1.9,82792,998.5,996.8,997.65,12,,,2,,200,,,W,3.1,1,113,10,C,C
1995-09-20,-3.5,-14,-8.75,-1.9,82792,1002.2,999.8,1001,11,,,4,,250,,,SW,0,0,112,4,C,C
1995-09-21,-4,-14.5,-9.25,-1.9,82792,1008.3,1002.6,1005.45,8,,,2,,280,,,NW,0,0,112,10,C,C
1995-09-22,0,-12.5,-6.25,-1.9,82792,1008,997.1,1002.55,42,,,13,,360,,,N,1.8,-998,110,10,C,C
1995-09-23,1.5,0,0.75,-1.9,82792,999,991.3,995.15,55,,,35,,360,,,N,2.8,2,102,10,C,C
1995-09-24,1,-6,-2.5,-1.9,82792,995.2,979.5,987.35,67,,,30,,20,,,N,8.2,2,96,10,C,C
1995-09-25,0.4,-1.5,-0.55,-1.9,82792,986,978.5,982.25,48,,,28,,20,,,N,2.1,1,90,10,C,C
1995-09-26,1,-9,-4,-1.9,82792,972.1,964.5,968.3,67,,,33,,360,,,N,2.6,2,90,10,C,C
1995-09-27,0,-6.5,-3.25,-1.9,82792,985.8,966.5,976.15,36,,,9,,200,,,W,2.7,2,104,10,C,C
1995-09-28,0,-9.5,-4.75,-1.9,82792,997.5,983.8,990.65,37,,,9,,30,,,NE,0,0,96,10,C,C
1995-09-29,2,-5,-1.5,-1.8,82741,987.8,979.2,983.5,43,,,18,,360,,,N,6.3,1,94,10,C,C
1995-09-30,2,-1,0.5,-1.8,82741,988,982.4,985.2,45,,,25,,350,,,N,3.8,0,96,10,C,C
1995-10-01,-0.5,-4,-2.25,-1.8,82741,987.8,981.5,984.65,50,,,24,,360,,,N,3.6,4,103,10,C,C
1995-10-02,2,-3,-0.5,-1.8,82741,976.1,969.1,972.6,67,,,36,,360,,,N,4.4,5,115,10,C,C
1995-10-03,1,-3,-1,-1.8,82741,985.5,970.3,977.9,53,,,23,,360,,,N,1.2,1,120,10,C,C
1995-10-04,1.5,0,0.75,-1.8,82741,995.5,987.1,991.3,58,,,35,,20,,,N,7.7,1,120,10,C,C
